n,insufficient,mean_bps,median_bps,baseline_mean_bps,prob_positive,prob_negative,mean_positive_bps,mean_negative_bps,mean_abs_bps,p5_bps,p95_bps,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,threshold_pctile,horizon_bars
7853,False,8.19290171037012,8.850939761544385,2.87623914261817,0.5864001018718961,0.4135998981281039,48.318428434734884,-48.696892183010334,48.474961002466785,-96.02593578203766,109.23786790780764,5.443077275531117,5.394846289938622e-08,MES,discovery,0.95,100
4661,False,9.120915257840734,9.121021554414632,2.87623914261817,0.5902166916970607,0.4097833083029393,48.00840893623229,-46.88929160564364,47.549813334124515,-98.65266042475396,111.10146688655398,5.828407903798806,5.972862454411452e-09,MES,discovery,0.975,100
37485,False,0.3345069166545162,0.8526966531663405,0.16763009769046694,0.5237294917967187,0.4762705082032813,15.305493544912848,-16.128295384693576,15.697369795295812,-36.47038076582998,33.94235075503893,1.250118958005716,0.21126389982246005,MNQ,discovery,0.7,5
31488,False,0.3167924585052788,0.8769924225249248,0.16763009769046694,0.5230881605691057,0.4769118394308943,15.963472388332951,-16.844855348925737,16.383814357312303,-37.93964941427002,35.264490600198535,1.0018779673478198,0.3164102341346406,MNQ,discovery,0.75,5
25743,False,0.43429063228749765,0.9921197346796085,0.16763009769046694,0.5244144039156275,0.47558559608437245,16.548568076834066,-17.334454405806,16.922324295052743,-38.726965217744436,36.13759967266449,1.6273482281420453,0.10367539921933903,MNQ,discovery,0.8,5
19749,False,0.4124362711146762,1.077223456540377,0.16763009769046694,0.5247354296420071,0.4752645703579928,17.2686079432384,-18.198314532019584,17.710464545714483,-40.18967451439459,37.42176245571959,1.259495616813795,0.20786625796654717,MNQ,discovery,0.85,5
13850,False,0.5506436029112943,1.1436446979207204,0.16763009769046694,0.5252707581227437,0.4747292418772563,18.407160478343854,-19.206947312491273,18.786842675782072,-41.81470361522016,39.505781751074544,1.5471159626485391,0.12185813505652898,MNQ,discovery,0.9,5
7462,False,0.14899790209046673,1.2150188303805542,0.16763009769046694,0.524390243902439,0.47560975609756095,19.40950571139308,-21.086946605602158,20.207312965955932,-45.68091123004154,41.41138212023164,-0.051260833806626604,0.9591190493866137,MNQ,discovery,0.95,5
4248,False,0.13081272851715697,1.163090189661986,0.16763009769046694,0.5225988700564972,0.4774011299435028,20.923366579335426,-22.630266930662604,21.738242735759982,-49.884249887096665,43.54845169497131,-0.06904525964747744,0.9449568439376972,MNQ,discovery,0.975,5
37480,False,0.6182179774540053,1.4640998295634144,0.33501323588971044,0.5277214514407684,0.47227854855923157,21.50032293499341,-22.71533119802601,22.07414527394592,-50.73051054688249,47.26633398575686,1.5307779175826195,0.12583272890662925,MNQ,discovery,0.7,10
31483,False,0.5967455985809127,1.4883536328236247,0.33501323588971044,0.526887526601658,0.47311247339834195,22.197758783324964,-23.459488487255566,22.79469884431173,-51.90230853875421,48.62082785080036,1.2954811241175501,0.1951638075765417,MNQ,discovery,0.75,10
25743,False,0.7071207712159998,1.613439954823992,0.33501323588971044,0.5279104999417318,0.4720895000582683,22.790546246119426,-23.98750213703197,23.355616554252126,-53.1280882326216,49.850897270142475,1.6772467989719548,0.09350637194986865,MNQ,discovery,0.8,10
19749,False,0.6930628428588069,1.8572224523905057,0.33501323588971044,0.5307610511924654,0.4692389488075346,23.48756874650115,-25.090039658703624,24.239510512837686,-55.536511395906984,50.575659930921276,1.3759139971689562,0.16886386468555997,MNQ,discovery,0.85,10
13850,False,0.8026773692566965,2.0399753782840424,0.33501323588971044,0.5326353790613718,0.4673646209386282,24.394394708175753,-26.08378930913136,25.18395797546714,-57.35527474913,52.07291351378136,1.4564106295237547,0.14530180893911293,MNQ,discovery,0.9,10
7462,False,0.729404622101769,2.270659828735866,0.33501323588971044,0.5347091932457786,0.4652908067542214,25.66649785391163,-27.928142035421665,26.718820099717423,-60.82341646967498,54.889998137763385,0.8501599772499703,0.39526343017405935,MNQ,discovery,0.95,10
4248,False,0.574792857951469,2.587129764056728,0.33501323588971044,0.5353107344632768,0.4646892655367232,27.30594756544334,-30.21884736739631,28.659540834994928,-64.13463539652608,57.72894340639522,0.36161167119965393,0.7176602305775447,MNQ,discovery,0.975,10
37480,False,1.5095909733426498,2.8870758986798695,0.6717902919769171,0.5445570971184632,0.4554429028815368,29.421549613760025,-31.863758519974205,30.533836327449354,-69.91072045032054,66.4881105491937,3.244508018264068,0.0011775678864038922,MNQ,discovery,0.7,20
31483,False,1.6523961827794076,3.166093252000568,0.6717902919769171,0.5461677730838865,0.45383222691611347,30.14822408538966,-32.64112010959064,31.27958063952311,-70.70859777423644,68.17155780155556,3.4553220886476748,0.0005503599329002193,MNQ,discovery,0.75,20
25743,False,1.7379640211168834,3.3595532952590546,0.6717902919769171,0.546711727459892,0.453288272540108,30.863531377719383,-33.39043044086132,32.008945088934205,-71.85055026341479,69.82241536497521,3.371772348947704,0.0007479603162461332,MNQ,discovery,0.8,20
19749,False,1.771484434411665,3.5293656292068043,0.6717902919769171,0.5464580485087852,0.45354195149121473,31.95366477145431,-34.59404980666953,33.151190153014014,-73.4117053712935,71.13661085505595,2.9460401128315716,0.003222464158488525,MNQ,discovery,0.85,20
13850,False,2.097144345580204,3.793974031868208,0.6717902919769171,0.5482310469314079,0.45176895306859205,33.06429602872398,-35.482140092666675,34.156602910174485,-74.48722226115733,73.1345948045366,3.168719845824527,0.0015344478191786882,MNQ,discovery,0.9,20
