n,insufficient,mean_bps,baseline_mean_bps,prob_positive,mean_abs_bps,skew,prob_beyond_baseline_p95,prob_beyond_baseline_p05,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,hypothesis,decile,variant,horizon_bars
2713,False,0.7095798591863066,0.6720929962517687,0.5425727976409879,22.079425602066767,-0.3727350989668241,0.057132325838555105,0.05639513453741246,0.05253544023143381,0.9581059262845848,NQ,discovery,H2_close_location,0.85,bottom_decile,20
2102,False,3.013836170772205,1.3449448014468262,0.5375832540437678,28.848464319488134,2.298611535916375,0.04804947668886775,0.04186489058039962,1.485141974429172,0.13765623758758228,NQ,discovery,H2_close_location,0.85,top_decile,40
1884,False,1.105009198283351,1.3449448014468262,0.5461783439490446,31.439744327533337,1.8126710766073768,0.054140127388535034,0.054140127388535034,-0.18992262030744553,0.8493902373681491,NQ,discovery,H2_close_location,0.85,bottom_decile,40
3983,False,0.8217905635735084,0.3352156255953169,0.5144363545066533,13.015409594706218,2.885505061277432,0.045945267386392166,0.035400451920662816,1.3201048846160839,0.18687588019407525,NQ,discovery,H2_close_location,0.9,top_decile,10
3035,False,0.331007151984656,0.3352156255953169,0.5271828665568369,16.49718120755191,3.08911424625746,0.06787479406919275,0.0728171334431631,-0.007970920615709398,0.9936407168964297,NQ,discovery,H2_close_location,0.9,bottom_decile,10
2922,False,1.5741761562944445,0.6720929962517687,0.526694045174538,19.22149547626578,3.8528935311782986,0.04654346338124572,0.04004106776180698,1.3793004786444556,0.1679077189234268,NQ,discovery,H2_close_location,0.9,top_decile,20
2317,False,0.39539875254928486,0.6720929962517687,0.5459646094087182,23.153483022363964,-0.7811364692132174,0.059991368148467845,0.06128614587829089,-0.3453746292794078,0.7298441128921634,NQ,discovery,H2_close_location,0.9,bottom_decile,20
1990,False,1.7929231216686685,1.3449448014468262,0.5306532663316583,28.934395704219035,2.1971249980212857,0.04773869346733668,0.04472361809045226,0.3831565410952337,0.7016446439745776,NQ,discovery,H2_close_location,0.9,top_decile,40
1676,False,0.07180001239850732,1.3449448014468262,0.5346062052505967,32.260352573089875,-1.2668805345572955,0.054295942720763726,0.06026252983293556,-0.9766956520086825,0.3288608832294984,NQ,discovery,H2_close_location,0.9,bottom_decile,40
3016,False,0.656160968296668,0.3352156255953169,0.5092838196286472,13.363345542295603,3.7680054910199217,0.05006631299734748,0.038461538461538464,0.7489163385610507,0.4539660535094498,NQ,discovery,H2_close_location,0.95,top_decile,10
