date,open,high,low,close,volume,instrument_id
2020-06-18,9963.75,10042.5,9879.0,10029.5,24946,8204
2020-06-19,10028.75,10130.0,9995.25,10130.0,3009,8204
2020-06-21,9884.5,9907.25,9841.25,9905.0,26054,13081
2020-06-22,9905.25,10158.0,9895.0,10149.75,399312,13081
2020-06-23,10149.75,10296.0,9972.5,10180.75,511665,13081
2020-06-24,10180.0,10241.75,9927.25,9973.5,691715,13081
2020-06-25,9974.25,10120.5,9885.5,10106.25,658425,13081
2020-06-26,10106.0,10120.0,9824.0,9844.0,651163,13081
2020-06-28,9796.5,9839.5,9777.75,9827.0,25031,13081
2020-06-29,9827.25,10008.25,9729.0,9992.75,574995,13081
2020-06-30,9993.5,10171.5,9940.0,10136.5,479392,13081
2020-07-01,10129.5,10309.0,10075.75,10269.5,450273,13081
2020-07-02,10268.5,10422.5,10252.25,10350.0,418267,13081
2020-07-03,10349.75,10389.75,10309.0,10325.25,125052,13081
2020-07-05,10334.0,10399.75,10334.0,10393.0,15702,13081
2020-07-06,10393.25,10648.25,10391.25,10640.0,480218,13081
2020-07-07,10640.0,10694.5,10506.0,10550.25,557824,13081
2020-07-08,10550.0,10698.0,10505.25,10682.5,569983,13081
2020-07-09,10682.25,10774.25,10560.25,10754.25,656171,13081
2020-07-10,10754.5,10847.25,10625.5,10842.75,596937,13081
2020-07-12,10847.5,10909.25,10846.5,10876.75,25822,13081
2020-07-13,10877.0,11058.25,10562.0,10645.5,821706,13081
2020-07-14,10645.25,10740.0,10358.75,10717.5,1149809,13081
2020-07-15,10717.75,10766.5,10551.5,10647.25,841737,13081
2020-07-16,10647.0,10647.0,10475.5,10566.75,781858,13081
2020-07-17,10567.25,10669.0,10538.0,10623.5,550738,13081
2020-07-19,10622.0,10657.0,10612.0,10647.5,14810,13081
2020-07-20,10647.25,10980.0,10545.5,10949.75,563182,13081
2020-07-21,10950.25,11057.75,10784.75,10873.25,719828,13081
2020-07-22,10873.75,10916.25,10761.75,10823.0,649944,13081
2020-07-23,10822.75,10938.5,10514.5,10582.75,828102,13081
2020-07-24,10581.75,10597.75,10301.25,10463.0,882767,13081
2020-07-26,10488.25,10517.0,10400.5,10439.0,36918,13081
