date,open,high,low,close,volume,instrument_id
2015-08-25,4032.0,4204.25,3958.75,3960.0,616916,2913
2015-08-26,3961.25,4229.5,3961.0,4221.0,623241,2913
2015-08-27,4220.0,4332.75,4205.25,4328.0,468711,2913
2015-08-28,4327.5,4340.75,4281.75,4324.25,312749,2913
2015-08-30,4324.0,4330.25,4270.25,4291.0,6003,2913
2015-08-31,4291.5,4323.25,4238.0,4241.5,294972,2913
2015-09-01,4240.5,4245.5,4118.25,4165.0,475268,2913
2015-09-02,4165.5,4286.5,4162.25,4273.5,333735,2913
2015-09-03,4273.25,4304.25,4219.75,4236.0,319924,2913
2015-09-04,4236.0,4236.25,4155.0,4184.75,344152,2913
2015-09-06,4181.75,4214.5,4180.0,4208.5,1829,2913
2015-09-07,4208.5,4243.75,4196.0,4227.5,37432,2913
2015-09-08,4227.5,4305.5,4208.25,4301.25,246154,2913
2015-09-09,4301.25,4369.5,4231.5,4238.75,329692,2913
2015-09-10,4239.5,4327.25,4226.5,4291.25,359199,2913
2015-09-11,4292.5,4330.0,4259.5,4329.25,84640,2913
2015-09-13,4325.25,4357.0,4322.75,4356.25,878,2913
2015-09-14,4355.5,4355.75,4292.25,4308.25,41648,2913
2015-09-15,4315.0,4373.5,4290.75,4361.5,34128,2913
2015-09-16,4361.5,4393.0,4345.5,4385.75,25245,2913
2015-09-17,4385.5,4451.5,4368.0,4381.0,20250,2913
2015-09-18,4377.5,4392.75,4313.0,4325.25,1799,2913
2015-09-20,4324.75,4332.25,4317.0,4321.5,1656,12809
2015-09-21,4320.0,4361.5,4286.5,4340.75,252178,12809
2015-09-22,4339.75,4341.0,4220.5,4255.5,316625,12809
2015-09-23,4255.75,4292.75,4221.5,4265.75,236947,12809
2015-09-24,4266.0,4278.75,4185.25,4258.0,355908,12809
2015-09-25,4257.5,4315.75,4185.5,4204.5,338760,12809
2015-09-27,4202.5,4208.25,4181.25,4193.75,3067,12809
2015-09-28,4194.0,4239.0,4079.5,4104.5,358693,12809
2015-09-29,4104.5,4144.25,4040.75,4076.25,426290,12809
2015-09-30,4076.5,4169.0,4066.0,4155.75,345375,12809
2015-10-01,4156.75,4225.75,4116.25,4189.0,367357,12809
2015-10-02,4189.0,4263.75,4111.5,4262.5,398089,12809
2015-10-04,4257.75,4263.25,4250.5,4262.25,2257,12809
2015-10-05,4262.0,4329.75,4252.25,4306.75,241236,12809
2015-10-06,4306.5,4322.0,4263.5,4281.25,263682,12809
2015-10-07,4281.0,4333.75,4268.0,4324.5,327925,12809
2015-10-08,4324.75,4348.25,4265.0,4341.5,315873,12809
2015-10-09,4341.25,4369.25,4324.5,4356.0,206463,12809
2015-10-11,4355.0,4355.0,4347.25,4349.75,1371,12809
2015-10-12,4349.25,4381.5,4346.25,4373.75,131822,12809
2015-10-13,4373.75,4390.75,4332.0,4337.5,232726,12809
2015-10-14,4337.0,4365.25,4317.5,4343.5,284242,12809
2015-10-15,4343.25,4422.0,4339.5,4421.25,272697,12809
